Risk factor,Linked disease,Age group,Year,Sex,Attributable deaths
Air pollution,Coronary heart disease,45–54,2018,Females,19.76450752
Air pollution,Coronary heart disease,45–54,2018,Males,84.30147246
Air pollution,Coronary heart disease,45–54,2018,Persons,104.06598
Air pollution,Coronary heart disease,55–64,2015,Females,33.72161612
Air pollution,Coronary heart disease,55–64,2015,Males,138.3182563
Air pollution,Coronary heart disease,55–64,2015,Persons,172.0398724
Air pollution,Coronary heart disease,55–64,2018,Females,32.81033352
Air pollution,Coronary heart disease,55–64,2018,Males,137.3261083
Air pollution,Coronary heart disease,55–64,2018,Persons,170.1364419
Air pollution,Coronary heart disease,65–84,2015,Females,223.5357671
Air pollution,Coronary heart disease,65–84,2015,Males,425.5611662
Air pollution,Coronary heart disease,65–84,2015,Persons,649.0969332
Air pollution,Coronary heart disease,65–84,2018,Females,194.4382873
Air pollution,Coronary heart disease,65–84,2018,Males,396.1718064
Air pollution,Coronary heart disease,65–84,2018,Persons,590.6100937
Air pollution,Coronary heart disease,85+,2015,Females,302.5575783
Air pollution,Coronary heart disease,85+,2015,Males,229.2268207
Air pollution,Coronary heart disease,85+,2015,Persons,531.784399
Air pollution,Coronary heart disease,85+,2018,Females,245.8929176
Air pollution,Coronary heart disease,85+,2018,Males,213.4151156
Air pollution,Coronary heart disease,85+,2018,Persons,459.3080331
Air pollution,Lower respiratory infections,15–24,2015,Females,0.120593889
Air pollution,Lower respiratory infections,15–24,2015,Males,0.189336065
Air pollution,Lower respiratory infections,15–24,2015,Persons,0.309929953
Air pollution,Lower respiratory infections,15–24,2018,Females,0.069014157
Air pollution,Lower respiratory infections,15–24,2018,Males,0.181198965
Air pollution,Lower respiratory infections,15–24,2018,Persons,0.250213122
Air pollution,Lower respiratory infections,25–34,2015,Females,0.28628296
Air pollution,Lower respiratory infections,25–34,2015,Males,0.558935201
Air pollution,Lower respiratory infections,25–34,2015,Persons,0.845218161
Air pollution,Lower respiratory infections,25–34,2018,Females,0.151741885
Air pollution,Lower respiratory infections,25–34,2018,Males,0.528311383
Air pollution,Lower respiratory infections,25–34,2018,Persons,0.680053267
Air pollution,Lower respiratory infections,35–44,2015,Females,0.776102434
Air pollution,Lower respiratory infections,35–44,2015,Males,0.794284323
Air pollution,Lower respiratory infections,35–44,2015,Persons,1.570386757
Air pollution,Lower respiratory infections,35–44,2018,Females,0.760122021
Air pollution,Lower respiratory infections,35–44,2018,Males,0.591419936
Air pollution,Lower respiratory infections,35–44,2018,Persons,1.351541957
Air pollution,Lower respiratory infections,45–54,2015,Females,1.607751569
Air pollution,Lower respiratory infections,45–54,2015,Males,3.339848175
Air pollution,Lower respiratory infections,45–54,2015,Persons,4.947599745
Air pollution,Lower respiratory infections,45–54,2018,Females,1.577765746
Air pollution,Lower respiratory infections,45–54,2018,Males,2.221369131
Air pollution,Lower respiratory infections,45–54,2018,Persons,3.799134878
Air pollution,Lower respiratory infections,55–64,2015,Females,2.714146511
Air pollution,Lower respiratory infections,55–64,2015,Males,4.151290455
Air pollution,Lower respiratory infections,55–64,2015,Persons,6.865436966
Air pollution,Lower respiratory infections,55–64,2018,Females,3.181661308
Air pollution,Lower respiratory infections,55–64,2018,Males,4.123077946
Air pollution,Lower respiratory infections,55–64,2018,Persons,7.304739254
Air pollution,Lower respiratory infections,65–84,2015,Females,23.56785005
Air pollution,Lower respiratory infections,65–84,2015,Males,29.48063559
Air pollution,Lower respiratory infections,65–84,2015,Persons,53.04848564
Air pollution,Lower respiratory infections,65–84,2018,Females,23.02053793
Air pollution,Lower respiratory infections,65–84,2018,Males,28.69629482
Air pollution,Lower respiratory infections,65–84,2018,Persons,51.71683275
Air pollution,Lower respiratory infections,85+,2015,Females,85.09694039
Air pollution,Lower respiratory infections,85+,2015,Males,47.36572955
Air pollution,Lower respiratory infections,85+,2015,Persons,132.4626699
Air pollution,Lower respiratory infections,85+,2018,Females,83.42602114
Air pollution,Lower respiratory infections,85+,2018,Males,56.565636
Air pollution,Lower respiratory infections,85+,2018,Persons,139.9916571
Air pollution,Lower respiratory infections,Under 15,2015,Females,0.814972524
Air pollution,Lower respiratory infections,Under 15,2015,Males,1.10157954
Air pollution,Lower respiratory infections,Under 15,2015,Persons,1.916552065
Air pollution,Lower respiratory infections,Under 15,2018,Females,0.478401721
Air pollution,Lower respiratory infections,Under 15,2018,Males,0.860110614
Air pollution,Lower respiratory infections,Under 15,2018,Persons,1.338512335
Air pollution,Lung cancer,15–24,2015,Females,0.035175746
Air pollution,Lung cancer,15–24,2015,Males,0.070699813
Air pollution,Lung cancer,15–24,2015,Persons,0.10587556
Air pollution,Lung cancer,15–24,2018,Females,0.034416928
Air pollution,Lung cancer,15–24,2018,Males,0.034722487
Air pollution,Lung cancer,15–24,2018,Persons,0.069139415
Air pollution,Lung cancer,25–34,2015,Females,0.249570839
Air pollution,Lung cancer,25–34,2015,Males,0.169561824
Air pollution,Lung cancer,25–34,2015,Persons,0.419132662
Air pollution,Lung cancer,25–34,2018,Females,0.140074807
Air pollution,Lung cancer,25–34,2018,Males,0.225740387
Air pollution,Lung cancer,25–34,2018,Persons,0.365815194
Air pollution,Lung cancer,35–44,2015,Females,1.428100991
Air pollution,Lung cancer,35–44,2015,Males,2.051989531
Air pollution,Lung cancer,35–44,2015,Persons,3.480090522
Air pollution,Lung cancer,35–44,2018,Females,0.929450421
Air pollution,Lung cancer,35–44,2018,Males,1.187124138
Air pollution,Lung cancer,35–44,2018,Persons,2.116574559
Air pollution,Lung cancer,45–54,2015,Females,8.203838817
Air pollution,Lung cancer,45–54,2015,Males,8.674856836
Air pollution,Lung cancer,45–54,2015,Persons,16.87869565
Air pollution,Lung cancer,45–54,2018,Females,6.558431954
Air pollution,Lung cancer,45–54,2018,Males,8.176879305
Air pollution,Lung cancer,45–54,2018,Persons,14.73531126
Air pollution,Lung cancer,55–64,2015,Females,22.74809887
Air pollution,Lung cancer,55–64,2015,Males,28.89754777
Air pollution,Lung cancer,55–64,2015,Persons,51.64564663
Air pollution,Lung cancer,55–64,2018,Females,23.02236359
Air pollution,Lung cancer,55–64,2018,Males,29.15363083
Air pollution,Lung cancer,55–64,2018,Persons,52.17599442
Air pollution,Lung cancer,65–84,2015,Females,71.51313501
Air pollution,Lung cancer,65–84,2015,Males,111.727152
Air pollution,Lung cancer,65–84,2015,Persons,183.240287
Air pollution,Lung cancer,65–84,2018,Females,77.53958892
Air pollution,Lung cancer,65–84,2018,Males,113.25187
Air pollution,Lung cancer,65–84,2018,Persons,190.791459
Air pollution,Lung cancer,85+,2015,Females,19.85610078
Air pollution,Lung cancer,85+,2015,Males,26.23880188
Air pollution,Lung cancer,85+,2015,Persons,46.09490266
Air pollution,Lung cancer,85+,2018,Females,20.39639921
Air pollution,Lung cancer,85+,2018,Males,25.01345836
Air pollution,Lung cancer,85+,2018,Persons,45.40985757
Air pollution,Lung cancer,Under 15,2015,Females,0
Air pollution,Lung cancer,Under 15,2015,Males,0
Air pollution,Lung cancer,Under 15,2015,Persons,0
Air pollution,Lung cancer,Under 15,2018,Females,0.034332091
Air pollution,Lung cancer,Under 15,2018,Males,0
Air pollution,Lung cancer,Under 15,2018,Persons,0.034332091
Air pollution,Stroke,25–34,2015,Females,0.765967251
Air pollution,Stroke,25–34,2015,Males,1.614957002
Air pollution,Stroke,25–34,2015,Persons,2.380924253
Air pollution,Stroke,25–34,2018,Females,2.563496133
Air pollution,Stroke,25–34,2018,Males,2.302638351
Air pollution,Stroke,25–34,2018,Persons,4.866134484
Air pollution,Stroke,35–44,2015,Females,5.553239019
Air pollution,Stroke,35–44,2015,Males,8.072219896
Air pollution,Stroke,35–44,2015,Persons,13.62545892
Air pollution,Stroke,35–44,2018,Females,6.345448626
Air pollution,Stroke,35–44,2018,Males,9.956135178
Air pollution,Stroke,35–44,2018,Persons,16.3015838
Air pollution,Stroke,45–54,2015,Females,9.558085486
Air pollution,Stroke,45–54,2015,Males,13.22170252
Air pollution,Stroke,45–54,2015,Persons,22.77978801
Air pollution,Stroke,45–54,2018,Females,12.37992544
Air pollution,Stroke,45–54,2018,Males,13.2996585
Air pollution,Stroke,45–54,2018,Persons,25.67958394
Air pollution,Stroke,55–64,2015,Females,26.35608739
Air pollution,Stroke,55–64,2015,Males,36.36774754
Air pollution,Stroke,55–64,2015,Persons,62.72383494
Air pollution,Stroke,55–64,2018,Females,25.80858957
Air pollution,Stroke,55–64,2018,Males,36.38908658
Air pollution,Stroke,55–64,2018,Persons,62.19767615
Air pollution,Stroke,65–84,2015,Females,142.9271331
Air pollution,Stroke,65–84,2015,Males,150.7182633
Air pollution,Stroke,65–84,2015,Persons,293.6453964
Air pollution,Stroke,65–84,2018,Females,138.2961922
Air pollution,Stroke,65–84,2018,Males,149.6208941
Air pollution,Stroke,65–84,2018,Persons,287.9170863
Air pollution,Stroke,85+,2015,Females,194.8386518
Air pollution,Stroke,85+,2015,Males,88.96174784
Air pollution,Stroke,85+,2015,Persons,283.8003997
Air pollution,Stroke,85+,2018,Females,168.777479
Air pollution,Stroke,85+,2018,Males,81.71198391
Air pollution,Stroke,85+,2018,Persons,250.4894629
Air pollution,Type 2 diabetes mellitus,15–24,2015,Females,0.128990191
Air pollution,Type 2 diabetes mellitus,15–24,2015,Males,0.119749638
Air pollution,Type 2 diabetes mellitus,15–24,2015,Persons,0.248739829
Air pollution,Type 2 diabetes mellitus,15–24,2018,Females,0.059872198
Air pollution,Type 2 diabetes mellitus,15–24,2018,Males,0.127632152
Air pollution,Type 2 diabetes mellitus,15–24,2018,Persons,0.18750435
Air pollution,Type 2 diabetes mellitus,25–34,2015,Females,0.190562079
Air pollution,Type 2 diabetes mellitus,25–34,2015,Males,0.458555142
Air pollution,Type 2 diabetes mellitus,25–34,2015,Persons,0.649117221
Air pollution,Type 2 diabetes mellitus,25–34,2018,Females,0.319525671
Air pollution,Type 2 diabetes mellitus,25–34,2018,Males,0.721350645
Air pollution,Type 2 diabetes mellitus,25–34,2018,Persons,1.040876316
Air pollution,Type 2 diabetes mellitus,35–44,2015,Females,0.770950934
Air pollution,Type 2 diabetes mellitus,35–44,2015,Males,1.421889102
Air pollution,Type 2 diabetes mellitus,35–44,2015,Persons,2.192840036
Air pollution,Type 2 diabetes mellitus,35–44,2018,Females,0.75233872
Air pollution,Type 2 diabetes mellitus,35–44,2018,Males,0.858881971
Air pollution,Type 2 diabetes mellitus,35–44,2018,Persons,1.61122069
Air pollution,Type 2 diabetes mellitus,45–54,2015,Females,1.784202184
Air pollution,Type 2 diabetes mellitus,45–54,2015,Males,4.174520221
Air pollution,Type 2 diabetes mellitus,45–54,2015,Persons,5.958722406
Air pollution,Type 2 diabetes mellitus,45–54,2018,Females,2.13485765
Air pollution,Type 2 diabetes mellitus,45–54,2018,Males,4.629019334
Air pollution,Type 2 diabetes mellitus,45–54,2018,Persons,6.763876985
Air pollution,Type 2 diabetes mellitus,55–64,2015,Females,4.943101813
Air pollution,Type 2 diabetes mellitus,55–64,2015,Males,10.90643401
Air pollution,Type 2 diabetes mellitus,55–64,2015,Persons,15.84953582
Air pollution,Type 2 diabetes mellitus,55–64,2018,Females,6.44579181
Air pollution,Type 2 diabetes mellitus,55–64,2018,Males,14.34894231
Air pollution,Type 2 diabetes mellitus,55–64,2018,Persons,20.79473412
Air pollution,Type 2 diabetes mellitus,65–84,2015,Females,36.41670964
Air pollution,Type 2 diabetes mellitus,65–84,2015,Males,55.65479766
Air pollution,Type 2 diabetes mellitus,65–84,2015,Persons,92.0715073
Air pollution,Type 2 diabetes mellitus,65–84,2018,Females,40.74602775
Air pollution,Type 2 diabetes mellitus,65–84,2018,Males,67.58606734
Air pollution,Type 2 diabetes mellitus,65–84,2018,Persons,108.3320951
Air pollution,Type 2 diabetes mellitus,85+,2015,Females,47.67505034
Air pollution,Type 2 diabetes mellitus,85+,2015,Males,33.10149575
Air pollution,Type 2 diabetes mellitus,85+,2015,Persons,80.77654609
Air pollution,Type 2 diabetes mellitus,85+,2018,Females,50.5012123
Air pollution,Type 2 diabetes mellitus,85+,2018,Males,37.27277709
Air pollution,Type 2 diabetes mellitus,85+,2018,Persons,87.77398939
Air pollution,Type 2 diabetes mellitus,Under 15,2015,Females,0.060069633
Air pollution,Type 2 diabetes mellitus,Under 15,2015,Males,0.059808422
Air pollution,Type 2 diabetes mellitus,Under 15,2015,Persons,0.119878055
Air pollution,Type 2 diabetes mellitus,Under 15,2018,Females,0
Air pollution,Type 2 diabetes mellitus,Under 15,2018,Males,0
Air pollution,Type 2 diabetes mellitus,Under 15,2018,Persons,0
Alcohol use,Alcohol use disorders,15–24,2003,Females,0
Alcohol use,Alcohol use disorders,15–24,2003,Males,1.012374353
Alcohol use,Alcohol use disorders,15–24,2003,Persons,1.012374353
Alcohol use,Alcohol use disorders,15–24,2011,Females,0
Alcohol use,Alcohol use disorders,15–24,2011,Males,0.008438819
Alcohol use,Alcohol use disorders,15–24,2011,Persons,0.008438819
Alcohol use,Alcohol use disorders,15–24,2015,Females,0
Alcohol use,Alcohol use disorders,15–24,2015,Males,0.004219409
Alcohol use,Alcohol use disorders,15–24,2015,Persons,0.004219409
Alcohol use,Alcohol use disorders,15–24,2018,Females,1.006825939
Alcohol use,Alcohol use disorders,15–24,2018,Males,0.004219409
Alcohol use,Alcohol use disorders,15–24,2018,Persons,1.011045348
Alcohol use,Alcohol use disorders,25–34,2003,Females,3.434416805
Alcohol use,Alcohol use disorders,25–34,2003,Males,3.850486184
Alcohol use,Alcohol use disorders,25–34,2003,Persons,7.284902989
Alcohol use,Alcohol use disorders,25–34,2011,Females,2.307571068
Alcohol use,Alcohol use disorders,25–34,2011,Males,6.719509568
Alcohol use,Alcohol use disorders,25–34,2011,Persons,9.027080636
Alcohol use,Alcohol use disorders,25–34,2015,Females,0.266986681
Alcohol use,Alcohol use disorders,25–34,2015,Males,6.568493319
Alcohol use,Alcohol use disorders,25–34,2015,Persons,6.83548
Alcohol use,Alcohol use disorders,25–34,2018,Females,0.372649282
Alcohol use,Alcohol use disorders,25–34,2018,Males,2.867784992
Alcohol use,Alcohol use disorders,25–34,2018,Persons,3.240434274
Alcohol use,Alcohol use disorders,35–44,2003,Females,9.563526966
Alcohol use,Alcohol use disorders,35–44,2003,Males,26.33102286
Alcohol use,Alcohol use disorders,35–44,2003,Persons,35.89454983
Alcohol use,Alcohol use disorders,35–44,2011,Females,7.462553396
Alcohol use,Alcohol use disorders,35–44,2011,Males,16.13187616
Alcohol use,Alcohol use disorders,35–44,2011,Persons,23.59442956
Alcohol use,Alcohol use disorders,35–44,2015,Females,6.39799004
Alcohol use,Alcohol use disorders,35–44,2015,Males,16.13002286
Alcohol use,Alcohol use disorders,35–44,2015,Persons,22.5280129
Alcohol use,Alcohol use disorders,35–44,2018,Females,7.738612184
Alcohol use,Alcohol use disorders,35–44,2018,Males,13.51850101
Alcohol use,Alcohol use disorders,35–44,2018,Persons,21.2571132
Alcohol use,Alcohol use disorders,45–54,2003,Females,6.532045085
Alcohol use,Alcohol use disorders,45–54,2003,Males,47.0387148
Alcohol use,Alcohol use disorders,45–54,2003,Persons,53.57075988
Alcohol use,Alcohol use disorders,45–54,2011,Females,14.98583923
Alcohol use,Alcohol use disorders,45–54,2011,Males,58.60360339
Alcohol use,Alcohol use disorders,45–54,2011,Persons,73.58944261
Alcohol use,Alcohol use disorders,45–54,2015,Females,10.85107017
Alcohol use,Alcohol use disorders,45–54,2015,Males,41.36322552
Alcohol use,Alcohol use disorders,45–54,2015,Persons,52.21429568
Alcohol use,Alcohol use disorders,45–54,2018,Females,9.334611935
Alcohol use,Alcohol use disorders,45–54,2018,Males,29.95915355
Alcohol use,Alcohol use disorders,45–54,2018,Persons,39.29376549
Alcohol use,Alcohol use disorders,55–64,2003,Females,14.60093943
Alcohol use,Alcohol use disorders,55–64,2003,Males,53.66025883
Alcohol use,Alcohol use disorders,55–64,2003,Persons,68.26119826
Alcohol use,Alcohol use disorders,55–64,2011,Females,19.34379349
Alcohol use,Alcohol use disorders,55–64,2011,Males,52.08629593
Alcohol use,Alcohol use disorders,55–64,2011,Persons,71.43008942
Alcohol use,Alcohol use disorders,55–64,2015,Females,10.17285774
Alcohol use,Alcohol use disorders,55–64,2015,Males,56.47584643
Alcohol use,Alcohol use disorders,55–64,2015,Persons,66.64870417
Alcohol use,Alcohol use disorders,55–64,2018,Females,12.75715756
Alcohol use,Alcohol use disorders,55–64,2018,Males,58.64098704
Alcohol use,Alcohol use disorders,55–64,2018,Persons,71.3981446
Alcohol use,Alcohol use disorders,65–84,2003,Females,11.74893233
Alcohol use,Alcohol use disorders,65–84,2003,Males,75.75293108
Alcohol use,Alcohol use disorders,65–84,2003,Persons,87.50186342
Alcohol use,Alcohol use disorders,65–84,2011,Females,20.04024588
Alcohol use,Alcohol use disorders,65–84,2011,Males,66.08007297
Alcohol use,Alcohol use disorders,65–84,2011,Persons,86.12031885
Alcohol use,Alcohol use disorders,65–84,2015,Females,21.78949606
Alcohol use,Alcohol use disorders,65–84,2015,Males,94.53305537
Alcohol use,Alcohol use disorders,65–84,2015,Persons,116.3225514
Alcohol use,Alcohol use disorders,65–84,2018,Females,15.7996679
Alcohol use,Alcohol use disorders,65–84,2018,Males,70.53755959
Alcohol use,Alcohol use disorders,65–84,2018,Persons,86.33722748
Alcohol use,Alcohol use disorders,85+,2003,Females,5.244661597
Alcohol use,Alcohol use disorders,85+,2003,Males,6.647467141
Alcohol use,Alcohol use disorders,85+,2003,Persons,11.89212874
Alcohol use,Alcohol use disorders,85+,2011,Females,9.422859242
Alcohol use,Alcohol use disorders,85+,2011,Males,11.2028338
Alcohol use,Alcohol use disorders,85+,2011,Persons,20.62569304
Alcohol use,Alcohol use disorders,85+,2015,Females,7.357067043
Alcohol use,Alcohol use disorders,85+,2015,Males,17.03977839
Alcohol use,Alcohol use disorders,85+,2015,Persons,24.39684543
Alcohol use,Alcohol use disorders,85+,2018,Females,7.383124351
Alcohol use,Alcohol use disorders,85+,2018,Males,15.17262895
Alcohol use,Alcohol use disorders,85+,2018,Persons,22.5557533
Alcohol use,Alcohol use disorders,Under 15,2003,Females,0
Alcohol use,Alcohol use disorders,Under 15,2003,Males,0
Alcohol use,Alcohol use disorders,Under 15,2003,Persons,0
Alcohol use,Alcohol use disorders,Under 15,2011,Females,0
Alcohol use,Alcohol use disorders,Under 15,2011,Males,0
Alcohol use,Alcohol use disorders,Under 15,2011,Persons,0
Alcohol use,Alcohol use disorders,Under 15,2015,Females,0
Alcohol use,Alcohol use disorders,Under 15,2015,Males,0
Alcohol use,Alcohol use disorders,Under 15,2015,Persons,0
Alcohol use,Alcohol use disorders,Under 15,2018,Females,0
Alcohol use,Alcohol use disorders,Under 15,2018,Males,0
Alcohol use,Alcohol use disorders,Under 15,2018,Persons,0
Alcohol use,Atrial fibrillation and flutter,15–24,2003,Females,0
Alcohol use,Atrial fibrillation and flutter,15–24,2003,Males,0
Alcohol use,Atrial fibrillation and flutter,15–24,2003,Persons,0
Alcohol use,Atrial fibrillation and flutter,15–24,2011,Females,0
Alcohol use,Atrial fibrillation and flutter,15–24,2011,Males,0
Alcohol use,Atrial fibrillation and flutter,15–24,2011,Persons,0
Alcohol use,Atrial fibrillation and flutter,15–24,2015,Females,0
Alcohol use,Atrial fibrillation and flutter,15–24,2015,Males,0
Alcohol use,Atrial fibrillation and flutter,15–24,2015,Persons,0
Alcohol use,Atrial fibrillation and flutter,15–24,2018,Females,0
Alcohol use,Atrial fibrillation and flutter,15–24,2018,Males,0
Alcohol use,Atrial fibrillation and flutter,15–24,2018,Persons,0
Alcohol use,Atrial fibrillation and flutter,25–34,2003,Females,0.000254302
Alcohol use,Atrial fibrillation and flutter,25–34,2003,Males,0.015313608
Alcohol use,Atrial fibrillation and flutter,25–34,2003,Persons,0.01556791
Alcohol use,Atrial fibrillation and flutter,25–34,2011,Females,0.000461886
Alcohol use,Atrial fibrillation and flutter,25–34,2011,Males,0.01536499
Alcohol use,Atrial fibrillation and flutter,25–34,2011,Persons,0.015826876
Alcohol use,Atrial fibrillation and flutter,25–34,2015,Females,0.00014041
Alcohol use,Atrial fibrillation and flutter,25–34,2015,Males,0.009264017
Alcohol use,Atrial fibrillation and flutter,25–34,2015,Persons,0.009404427
Alcohol use,Atrial fibrillation and flutter,25–34,2018,Females,0
Alcohol use,Atrial fibrillation and flutter,25–34,2018,Males,0.018432471
Alcohol use,Atrial fibrillation and flutter,25–34,2018,Persons,0.018432471
Alcohol use,Atrial fibrillation and flutter,35–44,2003,Females,0.000846568
Alcohol use,Atrial fibrillation and flutter,35–44,2003,Males,0.020791608
Alcohol use,Atrial fibrillation and flutter,35–44,2003,Persons,0.021638176
Alcohol use,Atrial fibrillation and flutter,35–44,2011,Females,0.000969247
Alcohol use,Atrial fibrillation and flutter,35–44,2011,Males,0.021877315
Alcohol use,Atrial fibrillation and flutter,35–44,2011,Persons,0.022846562
Alcohol use,Atrial fibrillation and flutter,35–44,2015,Females,0.0738639
Alcohol use,Atrial fibrillation and flutter,35–44,2015,Males,0.020248982
Alcohol use,Atrial fibrillation and flutter,35–44,2015,Persons,0.094112882
Alcohol use,Atrial fibrillation and flutter,35–44,2018,Females,0.000156119
Alcohol use,Atrial fibrillation and flutter,35–44,2018,Males,0.03238936
Alcohol use,Atrial fibrillation and flutter,35–44,2018,Persons,0.032545479
Alcohol use,Atrial fibrillation and flutter,45–54,2003,Females,0.005580231
Alcohol use,Atrial fibrillation and flutter,45–54,2003,Males,0.12258181
Alcohol use,Atrial fibrillation and flutter,45–54,2003,Persons,0.128162041
Alcohol use,Atrial fibrillation and flutter,45–54,2011,Females,0.281399123
Alcohol use,Atrial fibrillation and flutter,45–54,2011,Males,0.277430329
Alcohol use,Atrial fibrillation and flutter,45–54,2011,Persons,0.558829452
Alcohol use,Atrial fibrillation and flutter,45–54,2015,Females,0.255412172
Alcohol use,Atrial fibrillation and flutter,45–54,2015,Males,0.375721208
Alcohol use,Atrial fibrillation and flutter,45–54,2015,Persons,0.63113338
Alcohol use,Atrial fibrillation and flutter,45–54,2018,Females,0.091589782
Alcohol use,Atrial fibrillation and flutter,45–54,2018,Males,0.263602997
Alcohol use,Atrial fibrillation and flutter,45–54,2018,Persons,0.355192778
Alcohol use,Atrial fibrillation and flutter,55–64,2003,Females,0.318220729
Alcohol use,Atrial fibrillation and flutter,55–64,2003,Males,1.303569464
Alcohol use,Atrial fibrillation and flutter,55–64,2003,Persons,1.621790193
Alcohol use,Atrial fibrillation and flutter,55–64,2011,Females,0.61467437
Alcohol use,Atrial fibrillation and flutter,55–64,2011,Males,1.559626804
Alcohol use,Atrial fibrillation and flutter,55–64,2011,Persons,2.174301174
Alcohol use,Atrial fibrillation and flutter,55–64,2015,Females,0.7648025
Alcohol use,Atrial fibrillation and flutter,55–64,2015,Males,1.644765275
Alcohol use,Atrial fibrillation and flutter,55–64,2015,Persons,2.409567775
Alcohol use,Atrial fibrillation and flutter,55–64,2018,Females,0.899878757
Alcohol use,Atrial fibrillation and flutter,55–64,2018,Males,2.493718454
Alcohol use,Atrial fibrillation and flutter,55–64,2018,Persons,3.393597211
Alcohol use,Atrial fibrillation and flutter,65–84,2003,Females,17.40877908
Alcohol use,Atrial fibrillation and flutter,65–84,2003,Males,15.20627545
Alcohol use,Atrial fibrillation and flutter,65–84,2003,Persons,32.61505452
Alcohol use,Atrial fibrillation and flutter,65–84,2011,Females,24.84274492
Alcohol use,Atrial fibrillation and flutter,65–84,2011,Males,20.65912946
Alcohol use,Atrial fibrillation and flutter,65–84,2011,Persons,45.50187438
Alcohol use,Atrial fibrillation and flutter,65–84,2015,Females,31.13070559
Alcohol use,Atrial fibrillation and flutter,65–84,2015,Males,32.73652176
Alcohol use,Atrial fibrillation and flutter,65–84,2015,Persons,63.86722735
Alcohol use,Atrial fibrillation and flutter,65–84,2018,Females,30.29979861
Alcohol use,Atrial fibrillation and flutter,65–84,2018,Males,28.13557689
Alcohol use,Atrial fibrillation and flutter,65–84,2018,Persons,58.4353755
Alcohol use,Atrial fibrillation and flutter,85+,2003,Females,28.40276064
Alcohol use,Atrial fibrillation and flutter,85+,2003,Males,11.05149426
Alcohol use,Atrial fibrillation and flutter,85+,2003,Persons,39.45425489
Alcohol use,Atrial fibrillation and flutter,85+,2011,Females,51.8880293
