Risk factor,Linked disease,Year,Sex,Attributable deaths,Deaths,Percent deaths
Alcohol use,Alcohol use disorders,2011,Males,210.8326306,210.8326306,100
Alcohol use,Alcohol use disorders,2011,Persons,284.3954929,284.3954929,100
Alcohol use,Alcohol use disorders,2015,Females,56.83546772,56.83546772,100
Alcohol use,Alcohol use disorders,2015,Males,232.1146413,232.1146413,100
Alcohol use,Alcohol use disorders,2015,Persons,288.950109,288.950109,100
Alcohol use,Alcohol use disorders,2018,Females,54.39264915,54.39264915,100
Alcohol use,Alcohol use disorders,2018,Males,190.7008345,190.7008345,100
Alcohol use,Alcohol use disorders,2018,Persons,245.0934837,245.0934837,100
Alcohol use,Atrial fibrillation and flutter,2003,Females,46.13644154,609.7115923,7.566928713
Alcohol use,Atrial fibrillation and flutter,2003,Males,27.7200262,336.5688184,8.236064865
Alcohol use,Atrial fibrillation and flutter,2003,Persons,73.85646774,946.2804107,7.804924091
Alcohol use,Atrial fibrillation and flutter,2011,Females,77.62827884,982.1153697,7.904191426
Alcohol use,Atrial fibrillation and flutter,2011,Males,46.61939526,548.4133039,8.500777594
Alcohol use,Atrial fibrillation and flutter,2011,Persons,124.2476741,1530.528674,8.117957948
Alcohol use,Atrial fibrillation and flutter,2015,Females,126.1403694,1438.270055,8.770284056
Alcohol use,Atrial fibrillation and flutter,2015,Males,76.49547417,791.2544181,9.66762048
Alcohol use,Atrial fibrillation and flutter,2015,Persons,202.6358435,2229.524474,9.088747217
Alcohol use,Atrial fibrillation and flutter,2018,Females,135.4021464,1431.336357,9.4598412
Alcohol use,Atrial fibrillation and flutter,2018,Males,81.96473581,876.7411289,9.348795569
Alcohol use,Atrial fibrillation and flutter,2018,Persons,217.3668822,2308.077486,9.417659656
Alcohol use,Bowel cancer,2003,Females,135.5573067,2406.340362,5.633338858
Alcohol use,Bowel cancer,2003,Males,122.2300113,2813.115315,4.345005362
Alcohol use,Bowel cancer,2003,Persons,257.787318,5219.455677,4.938969385
Alcohol use,Bowel cancer,2011,Females,151.1588289,2466.908635,6.127459556
Alcohol use,Bowel cancer,2011,Males,134.0577645,2883.288348,4.649474779
Alcohol use,Bowel cancer,2011,Persons,285.2165934,5350.196983,5.330954998
Alcohol use,Bowel cancer,2015,Females,182.0640853,2619.63856,6.949969667
Alcohol use,Bowel cancer,2015,Males,157.0064029,3022.742177,5.194171176
Alcohol use,Bowel cancer,2015,Persons,339.0704882,5642.380737,6.009351442
Alcohol use,Bowel cancer,2018,Females,190.7392061,2576.605826,7.402731304
Alcohol use,Bowel cancer,2018,Males,156.8395531,2995.074589,5.236582544
Alcohol use,Bowel cancer,2018,Persons,347.5787592,5571.680416,6.238311125
Alcohol use,Breast cancer,2003,Females,249.9486195,2792.255687,8.951494689
Alcohol use,Breast cancer,2003,Persons,249.9486195,2802.446413,8.918943763
Alcohol use,Breast cancer,2011,Females,302.921304,2994.936082,10.11444971
Alcohol use,Breast cancer,2011,Persons,302.921304,3017.323783,10.03940332
Alcohol use,Breast cancer,2015,Females,319.5893439,2983.774187,10.7109092
Alcohol use,Breast cancer,2015,Persons,319.5893439,3011.07271,10.61380361
Alcohol use,Breast cancer,2018,Females,343.8499824,3075.531613,11.18018039
Alcohol use,Breast cancer,2018,Persons,343.8499824,3112.996549,11.04562684
Alcohol use,Chronic liver disease,2003,Females,64.78580843,478.3385957,13.54392245
Alcohol use,Chronic liver disease,2003,Males,217.7176384,1088.827546,19.99560344
Alcohol use,Chronic liver disease,2003,Persons,282.5034468,1567.166142,18.02638784
Alcohol use,Chronic liver disease,2011,Females,85.79040722,571.2132545,15.01898048
Alcohol use,Chronic liver disease,2011,Males,269.8911728,1232.86536,21.89137449
Alcohol use,Chronic liver disease,2011,Persons,355.68158,1804.078614,19.71541468
Alcohol use,Chronic liver disease,2015,Females,113.7021727,753.0098757,15.0996921
Alcohol use,Chronic liver disease,2015,Males,330.7126622,1508.424101,21.92438201
Alcohol use,Chronic liver disease,2015,Persons,444.4148349,2261.433976,19.65190404
Alcohol use,Chronic liver disease,2018,Females,115.808975,795.6916525,14.5545042
Alcohol use,Chronic liver disease,2018,Males,321.8901632,1489.219161,21.6146939
Alcohol use,Chronic liver disease,2018,Persons,437.6991382,2284.910813,19.15607102
Alcohol use,Coronary heart disease,2003,Females,619.6884804,13447.7547,4.60811856
Alcohol use,Coronary heart disease,2003,Males,329.6935798,14658.5125,2.249161229
Alcohol use,Coronary heart disease,2003,Persons,949.3820602,28106.2672,3.37783048
Alcohol use,Coronary heart disease,2011,Females,523.187398,11556.62019,4.527166154
Alcohol use,Coronary heart disease,2011,Males,350.8438831,13135.19195,2.671022124
Alcohol use,Coronary heart disease,2011,Persons,874.031281,24691.81215,3.539761585
Alcohol use,Coronary heart disease,2015,Females,583.297343,10471.06768,5.570562246
Alcohol use,Coronary heart disease,2015,Males,359.1254958,12543.39533,2.863064477
Alcohol use,Coronary heart disease,2015,Persons,942.4228389,23014.46301,4.094915612
Alcohol use,Coronary heart disease,2018,Females,555.8077584,9080.293224,6.121033151
Alcohol use,Coronary heart disease,2018,Males,394.75578,11955.12173,3.30198043
Alcohol use,Coronary heart disease,2018,Persons,950.5635385,21035.41496,4.518872294
Alcohol use,Drowning,2003,Females,2.31147456,52.80398204,4.37746259
Alcohol use,Drowning,2003,Males,36.65336015,198.2477434,18.4886645
Alcohol use,Drowning,2003,Persons,38.96483471,251.0517254,15.52064008
Alcohol use,Drowning,2011,Females,2.615078716,43.41217147,6.023837618
Alcohol use,Drowning,2011,Males,33.85240962,183.276832,18.47064315
Alcohol use,Drowning,2011,Persons,36.46748834,226.6890035,16.08701251
Alcohol use,Drowning,2015,Females,2.554040773,47.72752053,5.351295741
Alcohol use,Drowning,2015,Males,34.17196798,185.997797,18.3722434
Alcohol use,Drowning,2015,Persons,36.72600875,233.7253175,15.71332072
Alcohol use,Drowning,2018,Females,2.739493956,48.18013073,5.68594131
Alcohol use,Drowning,2018,Males,31.26620147,174.883655,17.87828683
Alcohol use,Drowning,2018,Persons,34.00569542,223.0637858,15.24483022
Alcohol use,Epilepsy,2003,Females,16.42023204,148.0882949,11.08813634
Alcohol use,Epilepsy,2003,Males,40.95417501,202.3442511,20.23985104
Alcohol use,Epilepsy,2003,Persons,57.37440705,350.4325461,16.3724539
Alcohol use,Epilepsy,2011,Females,16.43679148,135.4956245,12.13086514
Alcohol use,Epilepsy,2011,Males,40.73933994,191.7676144,21.24411886
Alcohol use,Epilepsy,2011,Persons,57.17613143,327.2632389,17.47099112
Alcohol use,Epilepsy,2015,Females,16.63847718,134.6337257,12.35832782
Alcohol use,Epilepsy,2015,Males,38.31851964,189.4005684,20.23147025
Alcohol use,Epilepsy,2015,Persons,54.95699682,324.0342941,16.96024088
Alcohol use,Epilepsy,2018,Females,15.77975293,120.237729,13.12379488
Alcohol use,Epilepsy,2018,Males,35.63677714,177.9996182,20.02070426
Alcohol use,Epilepsy,2018,Persons,51.41653007,298.2373472,17.24013795
Alcohol use,Falls,2003,Females,22.15971538,868.485196,2.55153634
Alcohol use,Falls,2003,Males,84.46467753,741.0438171,11.39806791
Alcohol use,Falls,2003,Persons,106.6243929,1609.529013,6.624571042
Alcohol use,Falls,2011,Females,60.06162084,1436.180339,4.182038927
Alcohol use,Falls,2011,Males,129.3039584,1195.942624,10.81188643
Alcohol use,Falls,2011,Persons,189.3655792,2632.122964,7.194404738
Alcohol use,Falls,2015,Females,58.70153833,1913.815521,3.06725166
Alcohol use,Falls,2015,Males,195.1784422,1524.618367,12.80179004
Alcohol use,Falls,2015,Persons,253.8799805,3438.433888,7.383593485
Alcohol use,Falls,2018,Females,67.59919405,2152.59967,3.140351408
Alcohol use,Falls,2018,Males,209.1242263,1939.852815,10.78041719
Alcohol use,Falls,2018,Persons,276.7234203,4092.452486,6.761799222
Alcohol use,"Fire, burns and scalds",2003,Females,2.062157783,40.1613325,5.134684669
Alcohol use,"Fire, burns and scalds",2003,Males,12.00480586,73.90041459,16.24457174
Alcohol use,"Fire, burns and scalds",2003,Persons,14.06696365,114.0617471,12.33276186
Alcohol use,"Fire, burns and scalds",2011,Females,2.033147626,37.41172773,5.434519466
Alcohol use,"Fire, burns and scalds",2011,Males,10.76919636,61.59810513,17.48299941
Alcohol use,"Fire, burns and scalds",2011,Persons,12.80234398,99.00983286,12.93037632
Alcohol use,"Fire, burns and scalds",2015,Females,1.54881345,27.89737201,5.551825632
Alcohol use,"Fire, burns and scalds",2015,Males,7.784872884,42.35267213,18.38106663
Alcohol use,"Fire, burns and scalds",2015,Persons,9.333686334,70.25004414,13.28637789
Alcohol use,"Fire, burns and scalds",2018,Females,0.917262819,16.27225207,5.636975233
Alcohol use,"Fire, burns and scalds",2018,Males,7.017855012,40.63308699,17.27128193
Alcohol use,"Fire, burns and scalds",2018,Persons,7.935117831,56.90533906,13.9444171
Alcohol use,Homicide and violence,2003,Females,7.692824927,102.0677013,7.536982639
Alcohol use,Homicide and violence,2003,Males,46.40246776,207.9721316,22.31186813
Alcohol use,Homicide and violence,2003,Persons,54.09529269,310.0398329,17.44785248
Alcohol use,Homicide and violence,2011,Females,9.439459017,111.6506136,8.454462288
Alcohol use,Homicide and violence,2011,Males,51.68778473,210.1593202,24.59457172
Alcohol use,Homicide and violence,2011,Persons,61.12724374,321.8099337,18.99482811
Alcohol use,Homicide and violence,2015,Females,7.46504438,94.10881645,7.932353909
Alcohol use,Homicide and violence,2015,Males,44.32596348,197.0177808,22.49845841
Alcohol use,Homicide and violence,2015,Persons,51.79100786,291.1265972,17.78985787
Alcohol use,Homicide and violence,2018,Females,8.042275879,100.0977388,8.034423131
Alcohol use,Homicide and violence,2018,Males,42.23880776,191.5607257,22.04982655
Alcohol use,Homicide and violence,2018,Persons,50.28108364,291.6584645,17.23971349
Alcohol use,Hypertensive heart disease,2003,Females,20.56005104,471.9533907,4.356373202
Alcohol use,Hypertensive heart disease,2003,Males,23.51420881,216.4039037,10.86588939
Alcohol use,Hypertensive heart disease,2003,Persons,44.07425985,688.3572943,6.402817289
Alcohol use,Hypertensive heart disease,2011,Females,42.30245083,583.0165676,7.255788801
Alcohol use,Hypertensive heart disease,2011,Males,31.0035988,294.851148,10.5150002
Alcohol use,Hypertensive heart disease,2011,Persons,73.30604963,877.8677156,8.350466514
Alcohol use,Hypertensive heart disease,2015,Females,43.92086676,821.631289,5.345568913
Alcohol use,Hypertensive heart disease,2015,Males,57.49831699,458.3630921,12.54427287
Alcohol use,Hypertensive heart disease,2015,Persons,101.4191838,1279.994381,7.923408513
Alcohol use,Hypertensive heart disease,2018,Females,40.03069465,726.4829665,5.510204161
Alcohol use,Hypertensive heart disease,2018,Males,47.6159614,418.5625149,11.37606921
Alcohol use,Hypertensive heart disease,2018,Persons,87.64665606,1145.045481,7.654425739
Alcohol use,Laryngeal cancer,2003,Females,3.128204343,27.5951883,11.33605
Alcohol use,Laryngeal cancer,2003,Males,43.71905924,205.1500807,21.31076873
Alcohol use,Laryngeal cancer,2003,Persons,46.84726358,232.745269,20.12812711
Alcohol use,Laryngeal cancer,2011,Females,4.134528017,32.93639105,12.55306937
Alcohol use,Laryngeal cancer,2011,Males,39.4062116,187.0357111,21.06881694
Alcohol use,Laryngeal cancer,2011,Persons,43.54073961,219.9721022,19.79375529
Alcohol use,Laryngeal cancer,2015,Females,3.58282009,26.52838307,13.5056105
Alcohol use,Laryngeal cancer,2015,Males,47.14451139,196.3506541,24.01036635
Alcohol use,Laryngeal cancer,2015,Persons,50.72733148,222.8790372,22.76002809
Alcohol use,Laryngeal cancer,2018,Females,3.14983938,23.81208606,13.22790188
Alcohol use,Laryngeal cancer,2018,Males,38.55323393,174.4195356,22.10373615
Alcohol use,Laryngeal cancer,2018,Persons,41.70307331,198.2316216,21.03754838
Alcohol use,Lip and oral cavity cancer,2003,Females,27.32666894,157.3794813,17.36355255
Alcohol use,Lip and oral cavity cancer,2003,Males,99.9686414,280.1032321,35.68992783
Alcohol use,Lip and oral cavity cancer,2003,Persons,127.2953103,437.4827135,29.09722063
Alcohol use,Lip and oral cavity cancer,2011,Females,30.84648187,154.5118847,19.96382475
Alcohol use,Lip and oral cavity cancer,2011,Males,112.9205767,306.3262059,36.86285225
Alcohol use,Lip and oral cavity cancer,2011,Persons,143.7670586,460.8380906,31.19686968
Alcohol use,Lip and oral cavity cancer,2015,Females,37.22530633,184.7473116,20.14930881
Alcohol use,Lip and oral cavity cancer,2015,Males,148.7099901,371.4005436,40.04032646
Alcohol use,Lip and oral cavity cancer,2015,Persons,185.9352964,556.1478551,33.43270944
Alcohol use,Lip and oral cavity cancer,2018,Females,40.66657797,195.5495313,20.79604983
Alcohol use,Lip and oral cavity cancer,2018,Males,133.0073743,355.901517,37.37196048
Alcohol use,Lip and oral cavity cancer,2018,Persons,173.6739522,551.4510483,31.49399258
Alcohol use,Liver cancer,2003,Females,63.81328717,299.5597335,21.3023581
Alcohol use,Liver cancer,2003,Males,311.2293342,635.3327356,48.98682481
Alcohol use,Liver cancer,2003,Persons,375.0426213,934.8924691,40.11612391
Alcohol use,Liver cancer,2011,Females,96.58531385,458.6703978,21.05767329
Alcohol use,Liver cancer,2011,Males,500.3729629,1011.656845,49.46074013
Alcohol use,Liver cancer,2011,Persons,596.9582767,1470.327242,40.60036838
Alcohol use,Liver cancer,2015,Females,128.0506756,611.0574379,20.95558743
Alcohol use,Liver cancer,2015,Males,601.0429623,1223.6621,49.11837688
Alcohol use,Liver cancer,2015,Persons,729.0936379,1834.719538,39.73869699
Alcohol use,Liver cancer,2018,Females,144.7749843,691.9449669,20.92290446
Alcohol use,Liver cancer,2018,Males,701.3094736,1457.652918,48.11224021
Alcohol use,Liver cancer,2018,Persons,846.0844579,2149.597885,39.36012701
Alcohol use,Lower respiratory infections,2003,Females,152.49843,2137.872127,7.133187626
Alcohol use,Lower respiratory infections,2003,Males,118.7849301,1656.499939,7.170838181
Alcohol use,Lower respiratory infections,2003,Persons,271.2833601,3794.372066,7.149624639
Alcohol use,Lower respiratory infections,2011,Females,108.7388103,1505.266928,7.223888882
Alcohol use,Lower respiratory infections,2011,Males,95.96462426,1257.191969,7.633251457
Alcohol use,Lower respiratory infections,2011,Persons,204.7034345,2762.458897,7.410189334
Alcohol use,Lower respiratory infections,2015,Females,161.671004,1962.784429,8.236819163
Alcohol use,Lower respiratory infections,2015,Males,127.7493244,1493.3075,8.554790244
Alcohol use,Lower respiratory infections,2015,Persons,289.4203284,3456.09193,8.374208043
Alcohol use,Lower respiratory infections,2018,Females,176.5145278,1971.951141,8.95126274
Alcohol use,Lower respiratory infections,2018,Males,138.1428661,1651.404773,8.365172992
Alcohol use,Lower respiratory infections,2018,Persons,314.6573939,3623.355915,8.684142581
Alcohol use,Nasopharyngeal cancer,2003,Females,4.332662903,23.36945727,18.53985248
Alcohol use,Nasopharyngeal cancer,2003,Males,10.55463233,29.77250329,35.45094015
Alcohol use,Nasopharyngeal cancer,2003,Persons,14.88729523,53.14196057,28.01420021
Alcohol use,Nasopharyngeal cancer,2011,Females,3.510991778,16.01824604,21.91870302
Alcohol use,Nasopharyngeal cancer,2011,Males,14.40225261,37.26688984,38.64624248
Alcohol use,Nasopharyngeal cancer,2011,Persons,17.91324439,53.28513588,33.61771363
Alcohol use,Nasopharyngeal cancer,2015,Females,5.160095376,23.93220768,21.56130118
Alcohol use,Nasopharyngeal cancer,2015,Males,24.03059335,56.76360847,42.3345062
Alcohol use,Nasopharyngeal cancer,2015,Persons,29.19068872,80.69581615,36.17373256
Alcohol use,Nasopharyngeal cancer,2018,Females,4.20013921,19.1354822,21.94948194
Alcohol use,Nasopharyngeal cancer,2018,Males,22.79690659,57.96537776,39.32848792
Alcohol use,Nasopharyngeal cancer,2018,Persons,26.9970458,77.10085996,35.01523305
Alcohol use,Oesophageal cancer,2003,Females,41.4223038,382.5924543,10.82674353
Alcohol use,Oesophageal cancer,2003,Males,154.9592795,784.5741286,19.75075062
Alcohol use,Oesophageal cancer,2003,Persons,196.3815833,1167.166583,16.82549743
Alcohol use,Oesophageal cancer,2011,Females,45.105022,358.0437707,12.59762791
Alcohol use,Oesophageal cancer,2011,Males,189.7464548,930.3922743,20.3942423
Alcohol use,Oesophageal cancer,2011,Persons,234.8514768,1288.436045,18.22763945
Alcohol use,Oesophageal cancer,2015,Females,50.33961825,388.1521554,12.96904257
Alcohol use,Oesophageal cancer,2015,Males,223.2520121,961.6901222,23.2145477
Alcohol use,Oesophageal cancer,2015,Persons,273.5916304,1349.842278,20.26841468
Alcohol use,Oesophageal cancer,2018,Females,49.06697934,367.7579121,13.34219543
Alcohol use,Oesophageal cancer,2018,Males,216.7774792,1018.526228,21.28344595
Alcohol use,Oesophageal cancer,2018,Persons,265.8444586,1386.28414,19.17676549
Alcohol use,Other land transport injuries,2003,Females,4.063605539,28.74565291,14.13641761
Alcohol use,Other land transport injuries,2003,Males,31.38714797,95.69667134,32.7985786
Alcohol use,Other land transport injuries,2003,Persons,35.45075351,124.4423243,28.48769799
Alcohol use,Other land transport injuries,2011,Females,10.22687211,48.61546831,21.03625136
Alcohol use,Other land transport injuries,2011,Males,44.38355526,136.461443,32.5246123
Alcohol use,Other land transport injuries,2011,Persons,54.61042737,185.0769113,29.50688284
Alcohol use,Other land transport injuries,2015,Females,6.036396174,32.66166186,18.48159533
Alcohol use,Other land transport injuries,2015,Males,43.89106551,136.0991862,32.24932253
Alcohol use,Other land transport injuries,2015,Persons,49.92746169,168.760848,29.58474212
Alcohol use,Other land transport injuries,2018,Females,6.71114585,34.26372693,19.58673633
Alcohol use,Other land transport injuries,2018,Males,39.49714141,120.1069795,32.88496771
Alcohol use,Other land transport injuries,2018,Persons,46.20828726,154.3707064,29.9333263
Alcohol use,Other oral cavity and pharynx cancers,2003,Females,11.55615491,61.30266422,18.85098315
Alcohol use,Other oral cavity and pharynx cancers,2003,Males,75.97630154,209.4898477,36.26729523
Alcohol use,Other oral cavity and pharynx cancers,2003,Persons,87.53245644,270.7925119,32.32454835
Alcohol use,Other oral cavity and pharynx cancers,2011,Females,12.97703203,64.503495,20.11833937
Alcohol use,Other oral cavity and pharynx cancers,2011,Males,88.57214989,237.8071183,37.2453737
Alcohol use,Other oral cavity and pharynx cancers,2011,Persons,101.5491819,302.3106133,33.59100787
Alcohol use,Other oral cavity and pharynx cancers,2015,Females,15.01529489,71.86531941,20.89365916
Alcohol use,Other oral cavity and pharynx cancers,2015,Males,112.8102847,276.1189886,40.85567793
Alcohol use,Other oral cavity and pharynx cancers,2015,Persons,127.8255796,347.984308,36.73314475
Alcohol use,Other oral cavity and pharynx cancers,2018,Females,14.32705822,64.35382487,22.26294747
Alcohol use,Other oral cavity and pharynx cancers,2018,Males,110.6038369,293.6694668,37.66269544
Alcohol use,Other oral cavity and pharynx cancers,2018,Persons,124.9308951,358.0232916,34.89462781
Alcohol use,Other unintentional injuries,2003,Females,7.471189929,182.2273711,4.099927406
Alcohol use,Other unintentional injuries,2003,Males,76.96110904,438.4570876,17.55271182
Alcohol use,Other unintentional injuries,2003,Persons,84.43229897,620.6844587,13.60309539
Alcohol use,Other unintentional injuries,2011,Females,12.42135174,223.6019675,5.555117371
Alcohol use,Other unintentional injuries,2011,Males,80.86151844,456.778485,17.70256724
Alcohol use,Other unintentional injuries,2011,Persons,93.28287017,680.3804524,13.71039833
Alcohol use,Other unintentional injuries,2015,Females,7.514960143,158.2803315,4.747879963
Alcohol use,Other unintentional injuries,2015,Males,74.8174904,411.8931028,18.16429794
Alcohol use,Other unintentional injuries,2015,Persons,82.33245054,570.1734343,14.43989593
Alcohol use,Other unintentional injuries,2018,Females,8.561679083,175.4678982,4.879342132
Alcohol use,Other unintentional injuries,2018,Males,63.60050897,378.4803999,16.80417506
Alcohol use,Other unintentional injuries,2018,Persons,72.16218805,553.9482981,13.02688144
Alcohol use,Pancreatitis,2003,Females,6.956650603,104.6416751,6.648068848
Alcohol use,Pancreatitis,2003,Males,12.96600799,117.556028,11.02964111
Alcohol use,Pancreatitis,2003,Persons,19.92265859,222.1977031,8.96618566
Alcohol use,Pancreatitis,2011,Females,9.070362979,121.7853605,7.447827011
Alcohol use,Pancreatitis,2011,Males,11.01013009,97.48401526,11.29429277
Alcohol use,Pancreatitis,2011,Persons,20.08049307,219.2693758,9.157910443
Alcohol use,Pancreatitis,2015,Females,9.499113252,118.7526568,7.999074298
Alcohol use,Pancreatitis,2015,Males,14.98589626,110.7588061,13.53020748
Alcohol use,Pancreatitis,2015,Persons,24.48500952,229.5114629,10.66831661
Alcohol use,Pancreatitis,2018,Females,12.10089001,139.3544533,8.683533051
Alcohol use,Pancreatitis,2018,Males,20.6013195,157.9719084,13.04112846
Alcohol use,Pancreatitis,2018,Persons,32.70220951,297.3263617,10.99875885
Alcohol use,Poisoning,2003,Females,23.48003565,254.1201882,9.239736446
Alcohol use,Poisoning,2003,Males,49.12087985,525.0070308,9.356232769
Alcohol use,Poisoning,2003,Persons,72.6009155,779.127219,9.31823632
Alcohol use,Poisoning,2011,Females,64.61351312,374.0146556,17.27566344
Alcohol use,Poisoning,2011,Males,144.3067806,835.0804613,17.280584
Alcohol use,Poisoning,2011,Persons,208.9202937,1209.095117,17.2790619
Alcohol use,Poisoning,2015,Females,60.12382677,469.4741158,12.80663294
Alcohol use,Poisoning,2015,Males,127.3645696,994.770739,12.80340933
Alcohol use,Poisoning,2015,Persons,187.4883964,1464.244855,12.8044429
Alcohol use,Poisoning,2018,Females,62.35755728,502.2551112,12.41551472
Alcohol use,Poisoning,2018,Males,140.3333844,1128.784105,12.43226085
Alcohol use,Poisoning,2018,Persons,202.6909416,1631.039216,12.42710412
Alcohol use,Road traffic injuries - motor vehicle occupants,2003,Females,68.76074493,369.7053754,18.59879501
Alcohol use,Road traffic injuries - motor vehicle occupants,2003,Males,250.1034928,819.4579355,30.52060173
Alcohol use,Road traffic injuries - motor vehicle occupants,2003,Persons,318.8642377,1189.163311,26.81416714
Alcohol use,Road traffic injuries - motor vehicle occupants,2011,Females,57.43197449,291.5852466,19.69646104
Alcohol use,Road traffic injuries - motor vehicle occupants,2011,Males,191.3798163,624.8626487,30.62750137
Alcohol use,Road traffic injuries - motor vehicle occupants,2011,Persons,248.8117908,916.4478953,27.14958396
Alcohol use,Road traffic injuries - motor vehicle occupants,2015,Females,50.06947355,283.2648692,17.67585006
Alcohol use,Road traffic injuries - motor vehicle occupants,2015,Males,167.095134,581.6254828,28.72899124
Alcohol use,Road traffic injuries - motor vehicle occupants,2015,Persons,217.1646075,864.890352,25.1089178
Alcohol use,Road traffic injuries - motor vehicle occupants,2018,Females,44.13055753,233.4730904,18.9017747
Alcohol use,Road traffic injuries - motor vehicle occupants,2018,Males,158.7210973,554.0036703,28.64982776
Alcohol use,Road traffic injuries - motor vehicle occupants,2018,Persons,202.8516549,787.4767607,25.75970047
Alcohol use,Road traffic injuries - motorcyclists,2003,Females,3.332477682,14.64718204,22.75166426
Alcohol use,Road traffic injuries - motorcyclists,2003,Males,54.75900003,171.0135894,32.02026238
Alcohol use,Road traffic injuries - motorcyclists,2003,Persons,58.09147771,185.6607714,31.28904252
Alcohol use,Road traffic injuries - motorcyclists,2011,Females,3.410645905,15.37438928,22.18394397
Alcohol use,Road traffic injuries - motorcyclists,2011,Males,61.5987771,186.0215775,33.11378062
Alcohol use,Road traffic injuries - motorcyclists,2011,Persons,65.009423,201.3959668,32.2794066
Alcohol use,Road traffic injuries - motorcyclists,2015,Females,3.788103787,16.36426945,23.14862755
Alcohol use,Road traffic injuries - motorcyclists,2015,Males,57.9919923,185.4503985,31.27089117
Alcohol use,Road traffic injuries - motorcyclists,2015,Persons,61.78009608,201.814668,30.61229231
Alcohol use,Road traffic injuries - motorcyclists,2018,Females,1.607728195,8.416366331,19.10240277
Alcohol use,Road traffic injuries - motorcyclists,2018,Males,56.51822552,180.8071875,31.25883783
Alcohol use,Road traffic injuries - motorcyclists,2018,Persons,58.12595371,189.2235538,30.7181387
Alcohol use,Road traffic injuries - pedal cyclists,2003,Females,0.199273261,2.070159098,9.625987733
Alcohol use,Road traffic injuries - pedal cyclists,2003,Males,5.982690307,23.23524605,25.74834067
Alcohol use,Road traffic injuries - pedal cyclists,2003,Persons,6.181963568,25.30540514,24.42941946
Alcohol use,Road traffic injuries - pedal cyclists,2011,Females,1.027935017,5.081284807,20.22982486
Alcohol use,Road traffic injuries - pedal cyclists,2011,Males,7.075009982,25.0868911,28.20201975
Alcohol use,Road traffic injuries - pedal cyclists,2011,Persons,8.102945,30.16817591,26.85924739
Alcohol use,Road traffic injuries - pedal cyclists,2015,Females,0.468467808,2.019363568,23.19878477
