Sex,Year,Risk factor,Attributable deaths,Deaths,Percent total deaths,Attributable deaths ASR
Males,2003,Diet low in polyunsaturated fats,250.6858425,68074,0.368254903,0.030442074
Persons,2003,Diet low in polyunsaturated fats,445.3702898,131994,0.337417072,0.02183779
Females,2011,Diet low in polyunsaturated fats,167.4278761,71410,0.234459986,0.009953593
Males,2011,Diet low in polyunsaturated fats,225.0231008,75374,0.298542071,0.021022707
Persons,2011,Diet low in polyunsaturated fats,392.450977,146784,0.267366319,0.014868361
Females,2015,Diet low in polyunsaturated fats,151.7644754,76788,0.197640875,0.008031994
Males,2015,Diet low in polyunsaturated fats,214.4777299,80497,0.266441892,0.017449544
Persons,2015,Diet low in polyunsaturated fats,366.2422053,157285,0.232852596,0.012294706
Females,2018,Diet low in polyunsaturated fats,132.1839562,76391,0.173036033,0.006488201
Males,2018,Diet low in polyunsaturated fats,203.8451601,82909,0.245866143,0.014901254
Persons,2018,Diet low in polyunsaturated fats,336.0291164,159300,0.210941065,0.010330374
Females,2003,Diet low in vegetables,1103.574548,63920,1.726493348,0.086078392
Males,2003,Diet low in vegetables,1083.380344,68074,1.591474489,0.132952468
Persons,2003,Diet low in vegetables,2186.954892,131994,1.656859321,0.10712619
Females,2011,Diet low in vegetables,1053.432899,71410,1.475189608,0.063112192
Males,2011,Diet low in vegetables,1074.717153,75374,1.425845986,0.100865972
Persons,2011,Diet low in vegetables,2128.150052,146784,1.449851518,0.080396644
Females,2015,Diet low in vegetables,990.9975245,76788,1.29056301,0.052848885
Males,2015,Diet low in vegetables,1056.940353,80497,1.313018314,0.085843615
Persons,2015,Diet low in vegetables,2047.937877,157285,1.302055426,0.068201885
Females,2018,Diet low in vegetables,898.0911844,76391,1.175650514,0.044632157
Males,2018,Diet low in vegetables,1036.220126,82909,1.249828277,0.075476742
Persons,2018,Diet low in vegetables,1934.311311,159300,1.214256943,0.059042582
Females,2003,Diet low in whole grains & high fibre cereals,1354.000062,63920,2.118272938,0.109857621
Males,2003,Diet low in whole grains & high fibre cereals,1539.878141,68074,2.262065019,0.181748118
Persons,2003,Diet low in whole grains & high fibre cereals,2893.878203,131994,2.192431628,0.142191943
Females,2011,Diet low in whole grains & high fibre cereals,1284.993901,71410,1.79945932,0.081418597
Males,2011,Diet low in whole grains & high fibre cereals,1488.184823,75374,1.974400752,0.136761413
Persons,2011,Diet low in whole grains & high fibre cereals,2773.178724,146784,1.889292241,0.106746715
Females,2015,Diet low in whole grains & high fibre cereals,1232.581857,76788,1.605175101,0.070556067
Males,2015,Diet low in whole grains & high fibre cereals,1466.67074,80497,1.822019131,0.117953993
Persons,2015,Diet low in whole grains & high fibre cereals,2699.252596,157285,1.716153859,0.092481264
Females,2018,Diet low in whole grains & high fibre cereals,1144.761417,76391,1.498555349,0.061155023
Males,2018,Diet low in whole grains & high fibre cereals,1439.253582,82909,1.735943724,0.104667773
Persons,2018,Diet low in whole grains & high fibre cereals,2584.014999,159300,1.622106088,0.081428012
Females,2011,High blood plasma glucose,4583.702519,71410,6.418852428,0.291897853
Males,2011,High blood plasma glucose,4791.629365,75374,6.357138224,0.445500844
Persons,2011,High blood plasma glucose,9375.331884,146784,6.38716201,0.359570109
Females,2015,High blood plasma glucose,4316.658057,76788,5.621526875,0.247791609
Males,2015,High blood plasma glucose,4939.833461,80497,6.136667778,0.397178197
Persons,2015,High blood plasma glucose,9256.491518,157285,5.885171198,0.313648881
Females,2018,High blood plasma glucose,4505.710774,76391,5.898222008,0.237332755
Males,2018,High blood plasma glucose,4969.365899,82909,5.993759301,0.35859495
Persons,2018,High blood plasma glucose,9475.076673,159300,5.947945181,0.294338958
Females,2003,High blood pressure,11673.88523,63920,18.26327477,0.907301594
Males,2003,High blood pressure,11057.50925,68074,16.24336641,1.373904332
Persons,2003,High blood pressure,22731.39448,131994,17.22153619,1.11314011
Females,2011,High blood pressure,10211.99473,71410,14.30051076,0.605571049
Males,2011,High blood pressure,9150.176367,75374,12.13969853,0.865564487
Persons,2011,High blood pressure,19362.1711,146784,13.19092755,0.726634063
Females,2015,High blood pressure,9974.239575,76788,12.98932069,0.526190868
Males,2015,High blood pressure,9365.142495,80497,11.63415096,0.760278918
Persons,2015,High blood pressure,19339.38207,157285,12.29575743,0.636817677
Females,2018,High blood pressure,8441.397575,76391,11.05025144,0.411572949
Males,2018,High blood pressure,8885.237359,82909,10.71685506,0.643379376
Persons,2018,High blood pressure,17326.63493,159300,10.87673254,0.520217543
Females,2003,High cholesterol,6298.469006,63920,9.853674914,0.488957083
Males,2003,High cholesterol,6207.162048,68074,9.118256674,0.753227027
Persons,2003,High cholesterol,12505.63105,131994,9.474393573,0.61166044
Females,2011,High cholesterol,5079.552552,71410,7.11322301,0.30076648
Males,2011,High cholesterol,5175.103887,75374,6.865900559,0.48028743
Persons,2011,High cholesterol,10254.65644,146784,6.986222231,0.385625091
Females,2015,High cholesterol,4421.903147,76788,5.758586168,0.233516212
Males,2015,High cholesterol,4681.157689,80497,5.815319439,0.379062689
Persons,2015,High cholesterol,9103.060836,157285,5.787621729,0.303294082
Females,2018,High cholesterol,3731.087619,76391,4.884197902,0.184286224
Males,2018,High cholesterol,4313.105746,82909,5.202216582,0.315870839
Persons,2018,High cholesterol,8044.193365,159300,5.049713349,0.246991591
Females,2003,High sun exposure,485.1534815,63920,0.759001066,0.042670428
Males,2003,High sun exposure,959.9412571,68074,1.410143751,0.108281773
Persons,2003,High sun exposure,1445.094739,131994,1.094818506,0.071384659
Females,2011,High sun exposure,601.8086474,71410,0.842751222,0.04255123
Males,2011,High sun exposure,1324.079025,75374,1.756678729,0.119707984
Persons,2011,High sun exposure,1925.887672,146784,1.312055587,0.076757355
Females,2015,High sun exposure,644.559247,76788,0.839401009,0.041386796
Males,2015,High sun exposure,1323.513835,80497,1.644177838,0.10558737
Persons,2015,High sun exposure,1968.073082,157285,1.251278305,0.069973791
Females,2018,High sun exposure,628.3480293,76391,0.822541961,0.036593905
Males,2018,High sun exposure,1304.510785,82909,1.573424821,0.094335742
Persons,2018,High sun exposure,1932.858814,159300,1.213345144,0.062517521
Females,2003,Illicit drug use,368.7694673,63920,0.576923447,0.035612517
Males,2003,Illicit drug use,1008.731659,68074,1.481816345,0.104531272
Persons,2003,Illicit drug use,1377.501126,131994,1.043608896,0.069541455
Females,2011,Illicit drug use,551.4958248,71410,0.772294951,0.045522757
Males,2011,Illicit drug use,1421.948035,75374,1.88652325,0.127459602
Persons,2011,Illicit drug use,1973.44386,146784,1.344454341,0.085882177
Females,2015,Illicit drug use,762.6341278,76788,0.99316837,0.058634183
Males,2015,Illicit drug use,1808.621849,80497,2.246818948,0.151251368
Persons,2015,Illicit drug use,2571.255976,157285,1.634775075,0.104124065
Females,2018,Illicit drug use,836.0382635,76391,1.094419845,0.060025136
Males,2018,Illicit drug use,2019.065501,82909,2.435279042,0.15907435
Persons,2018,Illicit drug use,2855.103765,159300,1.792281083,0.108623084
Females,2003,Impaired kidney function,3171.488953,63920,4.961653555,0.242339302
Males,2003,Impaired kidney function,2559.631329,68074,3.760071876,0.330921505
Persons,2003,Impaired kidney function,5731.120282,131994,4.341955151,0.27987222
Females,2011,Impaired kidney function,3727.485486,71410,5.219836837,0.220455065
Males,2011,Impaired kidney function,2906.009797,75374,3.855453866,0.281481144
Persons,2011,Impaired kidney function,6633.495283,146784,4.519222315,0.247231934
Females,2015,Impaired kidney function,4329.131568,76788,5.637770964,0.231558426
Males,2015,Impaired kidney function,3463.424142,80497,4.302550582,0.28426723
Persons,2015,Impaired kidney function,7792.55571,157285,4.954417592,0.256615887
Females,2018,Impaired kidney function,3984.409137,76391,5.215809633,0.192883585
Males,2018,Impaired kidney function,3165.454624,82909,3.817986737,0.229925385
Persons,2018,Impaired kidney function,7149.863761,159300,4.488301168,0.211604424
Females,2003,Intimate partner violence,159.4437717,63920,0.249442697,0.015977884
Persons,2003,Intimate partner violence,159.4437717,131994,0.120796227,0.008060066
Females,2011,Intimate partner violence,184.4115902,71410,0.258243369,0.016075735
Persons,2011,Intimate partner violence,184.4115902,146784,0.125634667,0.00814333
Females,2015,Intimate partner violence,227.145275,76788,0.295808297,0.018693944
Persons,2015,Intimate partner violence,227.145275,157285,0.144416362,0.009492166
Females,2018,Intimate partner violence,227.8766267,76391,0.298302976,0.01750552
Persons,2018,Intimate partner violence,227.8766267,159300,0.14304873,0.008914893
Females,2003,Iron deficiency,23.00667795,63920,0.035992925,0.001672579
Males,2003,Iron deficiency,6.345360044,68074,0.009321268,0.000838092
Persons,2003,Iron deficiency,29.352038,131994,0.022237403,0.001421535
Females,2011,Iron deficiency,14.01742802,71410,0.019629503,0.0008191
Males,2011,Iron deficiency,2.397040588,75374,0.003180196,0.000218712
Persons,2011,Iron deficiency,16.41446861,146784,0.011182737,0.000591967
Females,2015,Iron deficiency,21.12268415,76788,0.027507793,0.000945712
Males,2015,Iron deficiency,8.457311958,80497,0.010506369,0.000802189
Persons,2015,Iron deficiency,29.57999611,157285,0.018806622,0.000851272
Females,2018,Iron deficiency,17.18005124,76391,0.022489627,0.000705365
Males,2018,Iron deficiency,6.409781872,82909,0.007731105,0.000447898
Persons,2018,Iron deficiency,23.58983311,159300,0.014808433,0.000604416
Females,2018,Low birth weight & short gestation,130.0707591,76391,0.170269743,0.011509608
Males,2018,Low birth weight & short gestation,190.1383845,82909,0.229333829,0.015876373
Persons,2018,Low birth weight & short gestation,320.2091436,159300,0.201010134,0.013756515
Females,2003,Low bone mineral density,388.8176553,63920,0.608287946,0.029222041
Males,2003,Low bone mineral density,229.2246781,68074,0.336728675,0.032588335
Persons,2003,Low bone mineral density,618.0423334,131994,0.468235172,0.030169887
Females,2011,Low bone mineral density,543.402069,71410,0.760960746,0.030606671
Males,2011,Low bone mineral density,344.7954729,75374,0.457446166,0.03468891
Persons,2011,Low bone mineral density,888.1975419,146784,0.605105149,0.032028164
Females,2015,Low bone mineral density,712.890535,76788,0.928387945,0.035926948
Males,2015,Low bone mineral density,415.8515803,80497,0.516605066,0.034182136
Persons,2015,Low bone mineral density,1128.742115,157285,0.717641298,0.035366656
Females,2018,Low bone mineral density,806.795382,76391,1.056139312,0.037239244
Males,2018,Low bone mineral density,566.1816823,82909,0.682895322,0.040864833
Persons,2018,Low bone mineral density,1372.977064,159300,0.861881396,0.038684742
Females,2003,Occupational exposures & hazards,147.75866,63920,0.231161859,0.013998167
Males,2003,Occupational exposures & hazards,1528.24539,68074,2.244976628,0.165093005
Persons,2003,Occupational exposures & hazards,1676.00405,131994,1.269757754,0.083521453
Females,2011,Occupational exposures & hazards,186.9838798,71410,0.261845512,0.014809332
Males,2011,Occupational exposures & hazards,1690.381515,75374,2.242658629,0.150097446
Persons,2011,Occupational exposures & hazards,1877.365395,146784,1.278998661,0.07742564
Females,2015,Occupational exposures & hazards,176.947435,76788,0.230436312,0.012557799
Males,2015,Occupational exposures & hazards,1631.534612,80497,2.026826605,0.130143629
Persons,2015,Occupational exposures & hazards,1808.482047,157285,1.149812155,0.067370106
Females,2018,Occupational exposures & hazards,168.636139,76391,0.220753936,0.011033581
Males,2018,Occupational exposures & hazards,1574.970659,82909,1.899637746,0.114812909
Persons,2018,Occupational exposures & hazards,1743.606798,159300,1.094542874,0.059401716
Females,2003,Opioid use,139.1715625,63920,0.217727726,0.013754035
Males,2003,Opioid use,328.9796604,68074,0.483267709,0.033726961
Persons,2003,Opioid use,468.1512229,131994,0.354676139,0.023819078
Females,2011,Opioid use,205.9645208,71410,0.28842532,0.017845508
Males,2011,Opioid use,513.5077614,75374,0.6812797,0.047044991
Persons,2011,Opioid use,719.4722822,146784,0.490157158,0.03243669
Females,2015,Opioid use,261.3821347,76788,0.340394508,0.02144864
Males,2015,Opioid use,613.212133,80497,0.761782592,0.053446123
Persons,2015,Opioid use,874.5942677,157285,0.55605701,0.037376017
Females,2018,Opioid use,226.6059725,76391,0.296639621,0.017794713
Males,2018,Opioid use,571.5520118,82909,0.6893727,0.047524439
Persons,2018,Opioid use,798.1579843,159300,0.501040794,0.032542133
Females,2003,Other illicit drug use,11.12061834,63920,0.017397713,0.001122521
Males,2003,Other illicit drug use,13.4346874,68074,0.019735416,0.001383159
Persons,2003,Other illicit drug use,24.55530575,131994,0.01860335,0.001249032
Females,2011,Other illicit drug use,8.842926983,71410,0.012383317,0.000790601
Males,2011,Other illicit drug use,13.0301064,75374,0.017287269,0.001210242
Persons,2011,Other illicit drug use,21.87303338,146784,0.014901511,0.001000483
Females,2015,Other illicit drug use,6.513846497,76788,0.008482896,0.000512659
Males,2015,Other illicit drug use,5.234833797,80497,0.006503141,0.000436131
Persons,2015,Other illicit drug use,11.74868029,157285,0.007469676,0.000479034
Females,2018,Other illicit drug use,2.762172864,76391,0.003615835,0.000224934
Males,2018,Other illicit drug use,1.868614672,82909,0.002253814,0.000160427
Persons,2018,Other illicit drug use,4.630787536,159300,0.00290696,0.000193478
Females,2003,Overweight (including obesity),5201.586798,63920,8.137651436,0.438917354
Males,2003,Overweight (including obesity),6460.036327,68074,9.489726368,0.749442291
Persons,2003,Overweight (including obesity),11661.62313,131994,8.834964563,0.576006166
Females,2011,Overweight (including obesity),7139.514208,71410,9.997919349,0.461692692
Males,2011,Overweight (including obesity),6913.123153,75374,9.171761022,0.631184594
Persons,2011,Overweight (including obesity),14052.63736,146784,9.573684707,0.546743034
Females,2015,Overweight (including obesity),6868.629394,76788,8.944925501,0.3952782
Males,2015,Overweight (including obesity),7942.164562,80497,9.866410626,0.635267771
